modelo,dataset,abordagem,n,position_bias_count,position_bias_rate,agreement_rate,cohens_kappa
gemma4:e4b,ARC-Challenge,base,1,0,0.0,1.0,1.0
gemma4:e4b,ARC-Challenge,cot,1,0,0.0,1.0,1.0
gemma4:e4b,ARC-Challenge,for,1,0,0.0,1.0,1.0
gemma4:e4b,ARC-Challenge,gflow,1,0,0.0,1.0,1.0
gemma4:e4b,EleutherAI/hendrycks_math,base,32,0,0.0,1.0,1.0
gemma4:e4b,EleutherAI/hendrycks_math,cot,32,1,0.0312,0.9688,0.9322
gemma4:e4b,EleutherAI/hendrycks_math,for,32,0,0.0,1.0,1.0
gemma4:e4b,EleutherAI/hendrycks_math,gflow,32,0,0.0,1.0,1.0
gemma4:e4b,GSM8K,base,1,0,0.0,1.0,1.0
gemma4:e4b,GSM8K,cot,1,0,0.0,1.0,1.0
gemma4:e4b,GSM8K,for,1,0,0.0,1.0,1.0
gemma4:e4b,GSM8K,gflow,1,0,0.0,1.0,1.0
gemma4:e4b,truthfulqa/truthful_qa,base,70,5,0.0714,0.9286,0.843
gemma4:e4b,truthfulqa/truthful_qa,cot,70,2,0.0286,0.9714,0.9388
gemma4:e4b,truthfulqa/truthful_qa,for,70,4,0.0571,0.9429,0.8706
gemma4:e4b,truthfulqa/truthful_qa,gflow,70,3,0.0429,0.9571,0.9089
nvidia/Nemotron-Labs-Diffusion-3B,ARC-Challenge,base,4,0,0.0,1.0,1.0
nvidia/Nemotron-Labs-Diffusion-3B,EleutherAI/hendrycks_math,base,11,0,0.0,1.0,1.0
nvidia/Nemotron-Labs-Diffusion-3B,truthfulqa/truthful_qa,base,99,4,0.0404,0.9596,0.9186
