id_instancia,modelo,dataset,abordagem,status,resposta_final_extraida,referencia_curta,veredito_deterministico,exact_match,numeric_match,symbolic_equivalence,metrica_deterministica,fonte_avaliacao_recomendada,necessita_llm_juiz,arquivo_origem
arc_0041,gemma4:e4b,ARC-Challenge,base,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0041,gemma4:e4b,ARC-Challenge,cot,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0041,gemma4:e4b,ARC-Challenge,gflow,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0041,gemma4:e4b,ARC-Challenge,for,ok,A,A,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0213,gemma4:e4b,ARC-Challenge,base,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0213,gemma4:e4b,ARC-Challenge,cot,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0213,gemma4:e4b,ARC-Challenge,gflow,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0213,gemma4:e4b,ARC-Challenge,for,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0293,gemma4:e4b,ARC-Challenge,base,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0293,gemma4:e4b,ARC-Challenge,cot,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0293,gemma4:e4b,ARC-Challenge,gflow,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0293,gemma4:e4b,ARC-Challenge,for,ok,B,B,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0374,gemma4:e4b,ARC-Challenge,base,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0374,gemma4:e4b,ARC-Challenge,cot,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0374,gemma4:e4b,ARC-Challenge,gflow,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0374,gemma4:e4b,ARC-Challenge,for,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0567,gemma4:e4b,ARC-Challenge,base,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0567,gemma4:e4b,ARC-Challenge,cot,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0567,gemma4:e4b,ARC-Challenge,gflow,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0567,gemma4:e4b,ARC-Challenge,for,ok,C,C,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0822,gemma4:e4b,ARC-Challenge,base,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0822,gemma4:e4b,ARC-Challenge,cot,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0822,gemma4:e4b,ARC-Challenge,gflow,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0822,gemma4:e4b,ARC-Challenge,for,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,base,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,cot,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,gflow,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0862,gemma4:e4b,ARC-Challenge,for,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0964,gemma4:e4b,ARC-Challenge,base,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
arc_0964,gemma4:e4b,ARC-Challenge,cot,ok,D,D,1,1,,,multiple_choice_match,deterministica,False,D:\unesp\SLM_gemma4-prompting-evaluation\resultados\rodada_20260623_123306\geracao\gsm8k_arc\rodada_20260623_123309\resultados_gsm8k_arc.json
