modelo,dataset,abordagem,total,status_ok,erros_operacionais,erros_avaliacao,avaliadas,corretas,acuracia,answer_match_rate,accuracy_ci95_low,accuracy_ci95_high,exact_match_rate,exact_match_n,symbolic_equivalence_rate,symbolic_equivalence_n,truthfulness_rate,truthfulness_n,informativeness_rate,informativeness_n,oracle_at_3_rate,oracle_at_3_n,pontuacao_media_juiz,duracao_media_segundos,duracao_total_segundos,chamadas_slm_media,chamadas_slm_total,input_tokens_media,output_tokens_media,tokens_per_second_media,accuracy_per_second,delta_acuracia_vs_base,gain_per_extra_call,condicao
gemma4:e4b,ARC-Challenge,base,10,10,0,0,10,9,0.9,0.9,0.7,1.0,0.9,10,,0,,0,,0,,0,,134.611,1346.11,1.0,10,225.2,322.6,89.1275,0.006686,0.0,,gemma4:e4b / base
gemma4:e4b,ARC-Challenge,cot,10,10,0,0,10,10,1.0,1.0,1.0,1.0,1.0,10,,0,,0,,0,,0,,131.001,1310.01,1.0,10,242.2,524.1,89.5988,0.007634,0.1,,gemma4:e4b / cot
gemma4:e4b,ARC-Challenge,for,10,10,0,0,10,9,0.9,0.9,0.7,1.0,0.9,10,,0,,0,,0,,0,,143.868,1438.68,1.0,10,323.2,815.1,89.225,0.006256,0.0,,gemma4:e4b / for
gemma4:e4b,ARC-Challenge,gflow,10,10,0,0,10,9,0.9,0.9,0.7,1.0,0.9,10,,0,,0,,0,1.0,10,,160.954,1609.54,3.0,30,722.6,1733.8,89.4517,0.005592,0.0,0.0,gemma4:e4b / gflow
gemma4:e4b,EleutherAI/hendrycks_math,base,10,10,0,0,10,7,0.7,0.7,0.4,1.0,0.5,10,0.75,8,,0,,0,,0,0.5,345.478,3454.78,1.0,10,209.5,1938.5,89.817,0.002026,0.0,,gemma4:e4b / base
gemma4:e4b,EleutherAI/hendrycks_math,cot,10,10,0,0,10,7,0.7,0.7,0.4,1.0,0.6,10,1.0,6,,0,,0,,0,0.25,448.928,4489.28,1.0,10,229.5,2333.0,89.4277,0.001559,0.0,,gemma4:e4b / cot
gemma4:e4b,EleutherAI/hendrycks_math,for,10,10,0,0,10,7,0.7,0.7,0.4,1.0,0.5,10,0.8333,6,,0,,0,,0,0.25,436.084,4360.84,1.0,10,304.5,2493.7,89.2354,0.001605,0.0,,gemma4:e4b / for
gemma4:e4b,EleutherAI/hendrycks_math,gflow,10,10,0,0,10,7,0.7,0.7,0.4,1.0,0.6,10,1.0,6,,0,,0,0.7,10,0.25,615.784,6157.84,3.0,30,663.5,7317.4,89.6511,0.001137,0.0,0.0,gemma4:e4b / gflow
gemma4:e4b,GSM8K,base,10,10,0,0,10,10,1.0,1.0,1.0,1.0,0.6,10,,0,,0,,0,,0,,134.575,1345.75,1.0,10,209.3,271.9,90.6064,0.007431,0.0,,gemma4:e4b / base
gemma4:e4b,GSM8K,cot,10,10,0,0,10,10,1.0,1.0,1.0,1.0,0.7,10,,0,,0,,0,,0,,136.437,1364.37,1.0,10,226.3,534.0,90.2481,0.007329,0.0,,gemma4:e4b / cot
gemma4:e4b,GSM8K,for,10,10,0,0,10,10,1.0,1.0,1.0,1.0,0.8,10,,0,,0,,0,,0,,141.596,1415.96,1.0,10,307.3,669.7,89.8309,0.007062,0.0,,gemma4:e4b / for
gemma4:e4b,GSM8K,gflow,10,10,0,0,10,10,1.0,1.0,1.0,1.0,0.8,10,,0,,0,,0,1.0,10,,142.436,1424.36,3.0,30,674.9,2016.3,90.15,0.007021,0.0,0.0,gemma4:e4b / gflow
gemma4:e4b,truthfulqa/truthful_qa,base,10,10,0,0,10,6,0.6,0.6,0.3,0.9,0.0,10,,0,0.625,8,0.625,8,,0,0.6,115.198,1151.98,1.0,10,179.5,274.2,89.7574,0.005208,0.0,,gemma4:e4b / base
gemma4:e4b,truthfulqa/truthful_qa,cot,10,10,0,0,10,6,0.6,0.6,0.3,0.9,0.0,10,,0,0.625,8,0.625,8,,0,0.6,122.023,1220.23,1.0,10,188.5,492.8,90.9489,0.004917,0.0,,gemma4:e4b / cot
gemma4:e4b,truthfulqa/truthful_qa,for,10,10,0,0,10,5,0.5,0.5,0.2,0.8,0.0,10,,0,0.5,8,0.625,8,,0,0.55,95.545,955.45,1.0,10,264.5,784.7,90.79,0.005233,-0.1,,gemma4:e4b / for
gemma4:e4b,truthfulqa/truthful_qa,gflow,10,10,0,0,10,6,0.6,0.6,0.3,0.9,0.0,10,,0,0.625,8,0.625,8,0.6,10,0.6,153.823,1538.23,3.0,30,530.5,1812.7,93.0502,0.003901,0.0,0.0,gemma4:e4b / gflow
nvidia/Nemotron-Labs-Diffusion-3B,ARC-Challenge,base,10,10,0,0,10,7,0.7,0.7,0.4,1.0,0.7,10,,0,,0,,0,,0,,2.424,24.24,1.0,10,222.3,9.5,4.2431,0.288779,0.0,,nvidia/Nemotron-Labs-Diffusion-3B / base
nvidia/Nemotron-Labs-Diffusion-3B,EleutherAI/hendrycks_math,base,10,10,0,0,10,1,0.1,0.1,0.0,0.3,0.1,10,0.125,8,,0,,0,,0,0.0,5.987,59.87,1.0,10,208.2,24.5,3.5041,0.016703,0.0,,nvidia/Nemotron-Labs-Diffusion-3B / base
nvidia/Nemotron-Labs-Diffusion-3B,GSM8K,base,10,10,0,0,10,2,0.2,0.2,0.0,0.5,0.1,10,,0,,0,,0,,0,,2.942,29.42,1.0,10,207.5,12.6,4.4179,0.067981,0.0,,nvidia/Nemotron-Labs-Diffusion-3B / base
nvidia/Nemotron-Labs-Diffusion-3B,truthfulqa/truthful_qa,base,10,10,0,0,10,4,0.4,0.4,0.1,0.7,0.1,10,,0,0.4,10,0.6,10,,0,0.4,8.19,81.9,1.0,10,182.7,15.7,1.8679,0.04884,0.0,,nvidia/Nemotron-Labs-Diffusion-3B / base
