dataset,abordagem,total,deterministicamente_avaliadas,corretas_deterministicas,pendentes_llm_juiz
ARC-Challenge,base,20,20,16,0
ARC-Challenge,cot,10,10,10,0
ARC-Challenge,for,10,10,9,0
ARC-Challenge,gflow,10,10,9,0
EleutherAI/hendrycks_math,base,20,18,8,2
EleutherAI/hendrycks_math,cot,10,7,7,3
EleutherAI/hendrycks_math,for,10,7,6,3
EleutherAI/hendrycks_math,gflow,10,8,7,2
GSM8K,base,20,20,12,0
GSM8K,cot,10,10,10,0
GSM8K,for,10,10,10,0
GSM8K,gflow,10,10,10,0
truthfulqa/truthful_qa,base,20,0,0,20
truthfulqa/truthful_qa,cot,10,0,0,10
truthfulqa/truthful_qa,for,10,0,0,10
truthfulqa/truthful_qa,gflow,10,0,0,10
