modelo,dataset,abordagem,total,status_ok,erros_operacionais,erros_avaliacao,avaliadas,corretas,acuracia,answer_match_rate,accuracy_ci95_low,accuracy_ci95_high,exact_match_rate,exact_match_n,symbolic_equivalence_rate,symbolic_equivalence_n,truthfulness_rate,truthfulness_n,informativeness_rate,informativeness_n,oracle_at_3_rate,oracle_at_3_n,pontuacao_media_juiz,duracao_media_segundos,duracao_total_segundos,chamadas_slm_media,chamadas_slm_total,input_tokens_media,output_tokens_media,tokens_per_second_media,accuracy_per_second,delta_acuracia_vs_base,gain_per_extra_call,condicao
gemma4:e4b,ARC-Challenge,base,100,100,0,0,100,97,0.97,0.97,0.93,1.0,0.97,100,,0,,0,,0,,0,1.0,149.2434,14924.34,1.0,100,210.49,301.16,99.043,0.006499,0.0,,gemma4:e4b / base
gemma4:e4b,ARC-Challenge,cot,100,100,0,0,100,96,0.96,0.96,0.92,0.99,0.96,100,,0,,0,,0,,0,1.0,142.8812,14288.12,1.0,100,227.49,498.14,98.5656,0.006719,-0.01,,gemma4:e4b / cot
gemma4:e4b,ARC-Challenge,for,100,100,0,0,100,96,0.96,0.96,0.92,0.99,0.96,100,,0,,0,,0,,0,1.0,151.1876,15118.76,1.0,100,308.49,780.66,98.4044,0.00635,-0.01,,gemma4:e4b / for
gemma4:e4b,ARC-Challenge,gflow,100,100,0,0,100,95,0.95,0.95,0.9,0.99,0.95,100,,0,,0,,0,0.99,100,1.0,146.4758,14647.58,3.0,300,678.47,1738.3,98.6389,0.006486,-0.02,-0.01,gemma4:e4b / gflow
gemma4:e4b,EleutherAI/hendrycks_math,base,100,100,0,1,99,81,0.8182,0.8182,0.7374,0.8889,0.54,100,0.8902,82,,0,,0,,0,0.5152,534.6798,53467.98,1.0,100,237.6,1637.9,99.0642,0.00153,0.0,,gemma4:e4b / base
gemma4:e4b,EleutherAI/hendrycks_math,cot,100,100,0,1,99,75,0.7576,0.7576,0.6768,0.8384,0.52,100,0.9577,71,,0,,0,,0,0.3333,528.3332,52833.32,1.0,100,257.6,2331.87,98.7954,0.001434,-0.0606,,gemma4:e4b / cot
gemma4:e4b,EleutherAI/hendrycks_math,for,100,100,0,1,99,74,0.7475,0.7475,0.6566,0.8283,0.45,100,0.9275,69,,0,,0,,0,0.303,566.0121,56601.21,1.0,100,332.6,2372.24,98.6433,0.001321,-0.0707,,gemma4:e4b / for
gemma4:e4b,EleutherAI/hendrycks_math,gflow,100,100,0,1,99,76,0.7677,0.7677,0.6768,0.8485,0.5,100,0.9315,73,,0,,0,0.798,99,0.3636,590.1322,59013.22,3.0,300,747.8,7416.22,98.7706,0.001301,-0.0505,-0.02525,gemma4:e4b / gflow
gemma4:e4b,GSM8K,base,100,100,0,0,100,92,0.92,0.92,0.86,0.97,0.67,100,,0,,0,,0,,0,0.0,147.9547,14795.47,1.0,100,210.8,324.25,97.9299,0.006218,0.0,,gemma4:e4b / base
gemma4:e4b,GSM8K,cot,100,100,0,0,100,93,0.93,0.93,0.88,0.98,0.72,100,,0,,0,,0,,0,1.0,140.3556,14035.56,1.0,100,227.8,593.15,97.9054,0.006626,0.01,,gemma4:e4b / cot
